time	zera	jedynki
954	135091	128078
955	135164	128005
956	135047	128122
957	135185	127984
958	135125	128044
959	135133	128036
960	135095	128074
961	135202	127967
962	135119	128050
963	135121	128048
964	135140	128029
965	135125	128044
966	135101	128068
967	135178	127991
968	135080	128089
969	135150	128019
970	135114	128055
971	135121	128048
972	135086	128083
973	135182	127987
974	135092	128077
975	135115	128054
976	135139	128030
977	135157	128012
978	135069	128100
979	135175	127994
980	135069	128100
981	135161	128008
982	135112	128057
983	135154	128015
984	135087	128082
985	135206	127963
986	135065	128104
987	135141	128028
988	135128	128041
989	135145	128024
990	135109	128060
991	135163	128006
992	135084	128085
993	135158	128011
994	135089	128080
995	135132	128037
996	135070	128099
997	135188	127981
998	135104	128065
999	135120	128049
1000	135102	128067
1001	135179	127990
1002	135095	128074
1003	135167	128002
1004	135135	128034
1005	135151	128018
1006	135141	128028
1007	135131	128038
1008	135089	128080
1009	135197	127972
1010	135103	128066
1011	135146	128023
1012	135110	128059
1013	135162	128007
1014	135081	128088
1015	135150	128019
1016	135116	128053
1017	135145	128024
1018	135116	128053
1019	135152	128017
1020	135124	128045
1021	135149	128020
1022	135125	128044
1023	135134	128035
1024	135107	128062
1025	135194	127975
1026	135106	128063
1027	135199	127970
1028	135086	128083
1029	135185	127984
1030	135131	128038
1031	135146	128023
1032	135125	128044
1033	135214	127955
1034	135094	128075
1035	135154	128015
1036	135136	128033
1037	135191	127978
1038	135102	128067
1039	135192	127977
1040	135086	128083
1041	135187	127982
1042	135137	128032
1043	135149	128020
1044	135108	128061
1045	135191	127978
1046	135108	128061
1047	135144	128025
1048	135111	128058
1049	135167	128002
1050	135078	128091
1051	135173	127996
1052	135081	128088
1053	135162	128007
1054	135124	128045
1055	135110	128059
1056	135075	128094
1057	135194	127975
1058	135088	128081
1059	135112	128057
1060	135112	128057
1061	135142	128027
1062	135114	128055
1063	135150	128019
1064	135072	128097
1065	135152	128017
1066	135074	128095
1067	135136	128033
1068	135074	128095
1069	135165	128004
1070	135064	128105
1071	135123	128046
1072	135076	128093
1073	135136	128033
1074	135111	128058
1075	135129	128040
1076	135091	128078
1077	135150	128019
1078	135102	128067
1079	135108	128061
1080	135048	128121
1081	135191	127978
1082	135059	128110
1083	135116	128053
1084	135103	128066
1085	135137	128032
1086	135089	128080
1087	135137	128032
1088	135069	128100
1089	135140	128029
1090	135093	128076
1091	135108	128061
1092	135091	128078
1093	135163	128006
1094	135074	128095
1095	135109	128060
1096	135095	128074
1097	135152	128017
1098	135075	128094
1099	135135	128034
1100	135064	128105
1101	135134	128035
1102	135110	128059
1103	135109	128060
1104	135061	128108
1105	135164	128005
1106	135083	128086
1107	135131	128038
1108	135070	128099
1109	135158	128011
1110	135063	128106
1111	135144	128025
1112	135059	128110
1113	135142	128027
1114	135101	128068
1115	135096	128073
1116	135083	128086
1117	135161	128008
1118	135069	128100
1119	135113	128056
1120	135074	128095
1121	135146	128023
1122	135075	128094
1123	135154	128015
1124	135071	128098
1125	135132	128037
1126	135109	128060
1127	135125	128044
1128	135083	128086
1129	135170	127999
1130	135080	128089
1131	135118	128051
1132	135109	128060
1133	135133	128036
1134	135090	128079
1135	135121	128048
1136	135072	128097
1137	135158	128011
1138	135100	128069
1139	135108	128061
1140	135075	128094
1141	135179	127990
1142	135092	128077
1143	135100	128069
1144	135107	128062
1145	135135	128034
1146	135089	128080
1147	135154	128015
1148	135077	128092
